category,refinedCategory
wall,wall,na
chair,chair,chair
floor,floor,na
table,table,table
door,door,door
couch,couch,bench
cabinet,cabinet,cabinet
shelf,shelf,shelf
desk,desk,desk
office chair,office_chair,chair
bed,bed,bed
trashcan,bin
pillow,pillow
sink,sink
picture,picture
window,window
toilet,toilet
bookshelf,bookshelf
monitor,monitor
computer,computer
curtain,curtain
book,book
armchair,armchair
coffee table,coffee_table
drawer,drawer
box,box
refrigerator,refrigerator
lamp,lamp
kitchen cabinet,kitchen_cabinet
dining chair,dining_chair
towel,towel
clothes,clothes
tv,television
nightstand,nightstand
counter,counter
dresser,dresser
countertop,countertop
stool,stool
cushion,cushion
plant,plant
ceiling,ceiling
bathtub,bathtub
bedframe,bedframe
end table,end_table
dining table,dining_table
keyboard,keyboard
bag,bag
backpack,backpack
toilet paper,toilet_tissue
printer,printer
tv stand,television_stand
whiteboard,whiteboard
carpet,carpet
blanket,blanket
shower curtain,shower_curtain
trash can,bin
closet,closet
stair,staircase
microwave,microwave
washbasin,sink
rug,rug
stove,cooker
shoe,shoe
computer tower,computer_tower
bottle,bottle
bin,bin
ottoman,foot_stool
bench,bench
board,board
washing machine,washing_machine
mirror,mirror
copier,copier
basket,basket
sofa chair,sofa_chair
file cabinet,file_cabinet
fan,fan
laptop,laptop
shower,shower
paper,paper
person,person
headboard,headboard
paper towel dispenser,paper_towel_dispenser
faucet,faucet
oven,oven
footstool,footstool
blinds,blinds
rack,rack
plate,plate
blackboard,blackboard
piano,piano
heater,heater
soap,soap
luggage,luggage
computer desk,computer_desk
rail,rail
radiator,radiator
recycle bin,recycle_bin
container,container
wardrobe,wardrobe
soap dispenser,soap_dispenser
telephone,telephone
bucket,bucket
clock,clock
stand,stand
light,light
laundry basket,laundry_basket
pipe,pipe
round table,round_table
roof,ceiling
clothes dryer,clothes_dryer
coat,coat
guitar,guitar
desk chair,desk_chair
sheet,sheet
toilet paper holder,toilet_tissue_dispenser
seat,seat
step,staircase
speaker,speaker
vending machine,vending_machine
column,column
bicycle,bicycle
ladder,ladder
cover,cover
handle,handle
bathroom stall,bathroom_stall
foosball table,foosball_table
table lamp,table_lamp
shower wall,shower_wall
chest,chest
cup,cup
jacket,jacket
storage bin,box
screen,monitor
coffee maker,coffee_maker
hamper,hamper
dishwasher,dishwasher
window frame,window
paper towel,paper_towel
machine,machine
mat,mat
windowsill,windowsill
tap,tap
pool table,pool_table
hand dryer,hand_dryer
bar,bar
frame,frame
rolling chair,rolling_chair
toaster,toaster
wall frame,picture
hanger,hanger
conference table,conference_table
handrail,handrail
treadmill,treadmill
bulletin board,bulletin_board
ironing board,ironing_board
fireplace,fireplace
soap dish,soap_dish
fabric,clothes
kitchen counter,kitchen_counter
glass,glass
doorframe,doorframe
table cushion,table_cushion
toilet paper dispenser,toilet_tissue_dispenser
slab,slab
mini fridge,mini_fridge
fire extinguisher,fire_extinguisher
shampoo,shampoo
ball,ball
hat,hat
shower curtain rod,shower_curtain_rod
junk,junk
soap holder,soap_dish
staircase,staircase
toiletry,toothbrush
stall door,stall_door
framed picture,frame_picture
water cooler,water_cooler
bags,bags
desk lamp,desk_lamp
paper cutter,paper_cutter
led tv,television
switch,switch
bed sheet,bed_sheet
roof frame,ceiling_frame
tray,tray
comforter,comforter
air conditioner,air_conditioner
shower door,shower_door
shirt,shirt
swivel chair,swivel_chair
pillar,pillar
detergent,detergent
ledge,shelf
vase,vase
toaster oven,toaster
bedpost,bedpost
food,food
picture frame,picture
poltrone,chair
study table,desk
office table,office_table
mouse,mouse
storage,storage
nerf gun,nerf_gun
table chair,chair
night table,night_table
computer chair,computer_chair
toilet seat liner dispenser,toilet_cover
backrest,backrest
chair seat,chair_seat
sink cabinet,sink_cabinet
can,can
furniture,furniture
cart,cart
stool chair,chair
step stool,step_stool
robe,robe
table stand,table_support
stall,stall
dispenser,dispenser
storage container,box
side table,side_table
partition,partition
appliance,appliance
lotion,liquid_soap
pot,saucepan
photo,photo
toilet brush,toilet_brush
scale,scale
tissue box,tissue_box
remote,remote
light switch,light_switch
crate,step_stool
ping pong table,ping_pong_table
platform,draws
pantry,pantry
bath cabinet,bath_cabinet
slipper,slipper
sideboard,side_table
holder,holder
worktop,worktable
outlet,outlet
gas cooker,cooker
doorhandle,doorhandle
cutting board,cutting_board
bathroom sink,bathroom_sink
controller,console_controller
bedding set,bedding_set
mount,table
decoration,decoration
tablet,table
reading table,reading_table
floor covered,rug
cooker,cooker
file,file
archive,archive
trolley,trolley
wainscoting,skirting_board
lampshade,lampshade
china,china
sign,sign
fax machine,printer
mirror frame,mirror
projector,projector
sweater,sweater
paint can,bucket
heat register,heater
kitchen table,kitchen_table
globe,globe
toy,toy
kitchen worktop,kitchen_worktop
paper roll,toilet_roll
meeting table,meeting_table
vaze,vase
wall clock,wall_clock
closet door,closet_door
pack,backpack
doormat,doormat
tissue,toilet_tissue
plastic container,plastic_container
statue,statue
dollhouse,dollhouse
vacuum,vacuum
wet floor sign,sign
vanity,vanity
candle,candle
library desk,table
carton box,carton_box
easel,corkboard
wall lamp,wall_lamp
wall hanging,artwork
face wash,face_wash_bottle
corner,corner
lounge chair,lounge_chair
beanbag,beanbag
marker holder,marker_holder
dumbell,dumbell
ping pong paddle,ping_pong_racket
locker,locker
plunger,plunger
soap bar,soap
student chair,student_chair
office object,office_object
stuffed animal,stuffed_animal
water fountain,water_cooler
doorknob,doorknob
footrest,footrest
ac unit,air_conditioner
safe,safe
tile,tiled_floor
easle,whiteboard
headphone,headphone
dress,clothes
rolling cart,rolling_cart
chest of drawers,chest_of_drawers
plastic bin,plastic_bin
pail,pail
dry erase board,dry_erase_board
coatrack,coat_rack
recliner,recliner_chair
roomba,roomba_vacuum
highchair,highchair
dish rack,dish_rack
dartboard,dartboard
broom,broom
book rack,book_rack
eraser,eraser
bath mat,bath_mat
textile,cloth
paper box,paper_towel_dispenser
guitar case,guitar_case
mop,mop
lavatory,sink
server,rack
paper towel holder,paper_towel_dispenser
office supply,office_supply
panel,paneling
toilet brush holder,toilet_brush_holder
magazine,magazine
kitchen rack,kitchen_rack
table object,table_object
range hood,range_hood
bath,bath
trim,sideboard
scanner,printer
bathrobe,bathrobe
door and post,door
